Timestamp,Event,Value
1735576550.5158353,CAD operativo,39672
1735576550.523903,CAD operativo,39680
1735576550.5331671,CAD operativo,39689
1735576550.540796,CAD operativo,39697
1735576550.5483131,CAD operativo,39705
1735576550.5581615,CAD operativo,39714
1735576550.5658221,CAD operativo,39722
1735576550.5738292,CAD operativo,39730
1735576550.5832672,CAD operativo,39738
1735576550.5912652,CAD operativo,39747
1735576550.599344,CAD operativo,39755
1735576550.6073415,CAD operativo,39763
1735576550.6157956,CAD operativo,39772
1735576550.62438,CAD operativo,39780
1735576550.6319795,CAD operativo,39788
1735576550.6408093,CAD operativo,39796
1735576550.6493456,CAD operativo,39805
1735576550.6573417,CAD operativo,39813
1735576550.6657753,CAD operativo,39821
1735576550.6737723,CAD operativo,39830
1735576550.681854,CAD operativo,39838
1735576550.6903296,CAD operativo,39846
1735576550.6993449,CAD operativo,39855
1735576550.7066631,CAD operativo,39863
1735576550.7153256,CAD operativo,39871
1735576550.72404,CAD operativo,39879
1735576550.732117,CAD operativo,39888
1735576550.7395146,CAD operativo,39896
1735576550.7476814,CAD operativo,39904
1735576550.7566814,CAD operativo,39913
1735576550.765427,CAD operativo,39921
1735576550.77308,CAD operativo,39929
1735576550.7820084,CAD operativo,39937
1735576550.7901268,CAD operativo,39946
1735576550.7976074,CAD operativo,39954
1735576550.8065517,CAD operativo,39962
1735576550.8148947,CAD operativo,39971
1735576550.8233292,CAD operativo,39979
1735576550.8313324,CAD operativo,39987
1735576550.840355,CAD operativo,39996
1735576550.8478642,CAD operativo,40004
1735576550.8558643,CAD operativo,40012
1735576550.8652678,CAD operativo,40020
1735576550.8732667,CAD operativo,40029
1735576550.8813686,CAD operativo,40037
1735576550.8893607,CAD operativo,40045
1735576550.8983397,CAD operativo,40054
1735576550.9057488,CAD operativo,40062
1735576550.9143655,CAD operativo,40070
1735576550.923137,CAD operativo,40079
1735576550.9312081,CAD operativo,40087
1735576550.9389253,CAD operativo,40095
1735576550.948351,CAD operativo,40103
1735576550.9563663,CAD operativo,40112
1735576550.9644012,CAD operativo,40120
1735576550.971695,CAD operativo,40128
1735576550.980694,CAD operativo,40137
1735576550.9885654,CAD operativo,40145
1735576550.997565,CAD operativo,40153
1735576551.0061913,CAD operativo,40161
1735576551.0135736,CAD operativo,40170
1735576551.0220523,CAD operativo,40178
1735576551.0300562,CAD operativo,40186
1735576551.038541,CAD operativo,40195
1735576551.046865,CAD operativo,40203
1735576551.0548615,CAD operativo,40211
1735576551.0640028,CAD operativo,40220
1735576551.0722394,CAD operativo,40228
1735576551.0795553,CAD operativo,40236
1735576551.089272,CAD operativo,40244
1735576551.0972714,CAD operativo,40253
1735576551.1052446,CAD operativo,40261
1735576551.113672,CAD operativo,40269
1735576551.1223671,CAD operativo,40278
1735576551.129866,CAD operativo,40286
1735576551.137866,CAD operativo,40294
1735576551.1473777,CAD operativo,40303
1735576551.154502,CAD operativo,40311
1735576551.1632776,CAD operativo,40319
1735576551.1723545,CAD operativo,40327
1735576551.1803539,CAD operativo,40336
1735576551.1880677,CAD operativo,40344
1735576551.1972632,CAD operativo,40352
1735576551.204606,CAD operativo,40361
1735576551.2126102,CAD operativo,40369
1735576551.2208047,CAD operativo,40377
1735576551.229319,CAD operativo,40386
1735576551.2377875,CAD operativo,40394
1735576551.2458043,CAD operativo,40402
1735576551.255056,CAD operativo,40410
1735576551.262792,CAD operativo,40419
1735576551.2712367,CAD operativo,40427
1735576551.2803566,CAD operativo,40435
1735576551.2873938,CAD operativo,40444
1735576551.2959273,CAD operativo,40452
1735576551.3037877,CAD operativo,40460
1735576551.3127859,CAD operativo,40469
1735576551.3213696,CAD operativo,40477
1735576551.3293736,CAD operativo,40485
1735576551.3383737,CAD operativo,40493
1735576551.3461092,CAD operativo,40502
1735576551.353522,CAD operativo,40510
1735576551.3623796,CAD operativo,40518
1735576551.3712533,CAD operativo,40527
1735576551.3793683,CAD operativo,40535
